Id;Fransizca;Ingilizce;Turkce;Tur;Okunus;Sa
1;à ;at, to; -e, -de;prép.;a;-1
2;abandon;abandonment;terk;m.;abañdoñ;1
3;abandonner;toleave;terketmek;v.;abañdone;1
4;abat-jour;lampshade;abajur;m.;aba-jur;-1
5;abattoir;slaughterhouse;mezbaha;m.;abatuar;-1
6;abeille;bee, honeybee;arý;f.;abey;-1
7;abîme;abysse;yar (uçurum);m.;abim;-1
8;ablutions;ablutions, washing;abdest, aptes;f.;ablüsyoñ;2
9;faire ses ablutions;toperform an ablution;abdest/aptes almak;v.;fer sezablüsyoñ;2
10;aboiement;barking;havlama;m.;abuamañ;3
11;abondamment;abundantly;bol bol, bolca;adv.;aboñdamañ;4
12;abondance;abundance;bereket, bolluk;f.;aboñdans;4
13;abondant (-e);abundant, plentiful;bereketli, bol;adj.;aboñdan /-ant ;4
14;abonné (-e);subscriber;abone;adj.;abone;5
15;abonnement;"subscription;standing charge";abonman;m.;abonmañ;5
16;d'abord;first;önce, öncelikle;exp.;d'abor;6
17;tout d'abord;first of all;evvela, öncelikle;exp.;tu d'abor;6
18;aborder;toapproach, reach, board;yanaþmak;v.;aborde;-1
19;aboutir;toend up;sona ermek;v.;abutir;-1
20;aboyer;tobark;havlamak;v.;abuaye;3
21;abri;shelter;barýnak, sýðýnak;m.;abri;7
22;sans-abri;homeless person;evsiz;m.f.;sañzabri;7
23;abricot;apricot;kayýsý;m.;abriko;8
24;abricotier;apricot tree;kayýsý aðacý;m.;abrikotiye;8
25;s'abriter;toshelter;barýnmak;v.;s'abrite;7
26;absence;absence;yokluk;f.;absans;9
27;absent (-e);absent;nâmevcut, yok;adj.;absañ/absant;9
28;absentéisme;absenteeism;devamsýzlýk;f.;absañteizm;9
29;absinthe;absinth;pelin;f.;absent;-1
30;absolu (-e);absolute;mutlak;adj.;absolü;10
31;absolument;absolutely;mutlak, mutlaka;adv.;absolümañ;10
32;absorber;toabsorb;içine çekmek/emmek;v.;absorbe;-1
33;s'abstenir;toabstain from;çekinmek;v.;s'abstönir;11
34;abstentionnisme;abstentionism;çekimserlik;m.;abstañsiyonizm;11
35;abstentionniste;abstentionist;çekimser;m.f.;abstañsiyonist;11
36;abstrait (-e);abstract;soyut;adj.;abstre/abstret;12
37;nom abstrait;abstract noun;soyut isim;m.;noñ abstre;12
38;abstraitement;abstractedly;soyut bir biçimde;adv.;abstretmañ;12
39;abus;abuse;suistimal;m.;abü;-1
40;acacia;acacia;akasya;m.;akasya;-1
41;accéder;toaccede to;ulaþmak;v.;aksede;16
42;accélération;acceleration;hýzlanma;f.;akselerasyoñ;13
43;accélérer;toaccelerate;hýzlanmak;v.;akselere;13
44;accent;accent;þive;m.;aksañ;14
45;accent;accent;vurgu, vurgu iþareti;m.;aksañ;14
46;accent tonique;accent (tone);vurgu;m.;aksañ tonik;14
47;accentué (-e);accented;vurgulu;adj.;aksañtüe;14
48;acceptabilité;acceptability;kabul edilebilirlik;f.;akseptabilite;15
49;acceptable;acceptable;kabul edilebilir;adj.;akseptabl;15
50;acceptation;accepting;kabul etme;f.;akseptasyoñ;15
51;accepter;toaccept;kabul etmek;v.;aksepte;15
52;accès;access;giriþ yolu;m.;akse;16
53;accessoires;accessories;aksesuar;m.;aksesuar;-1
54;accident;accident;kaza;m.;aksidañ;17
55;accidenté (-e);casuality;kazazede;m.f.;aksidañte;17
56;accidentellement;accidentally;kazârâ;adv.;aksidañtelmañ;17
57;accompagnateur (-trice);guide;kýlavuz, rehber;m.f.;akoñpanyatör/-tris;18
58;accompagnement;accompaniment;refâkat;m.;akoñpany(ö)mañ;18
59;accompagner;togo with;eþlik etmek;v.;akoñpanye;18
60;accompli (-e);accomplished;tamamlanmýþ, olmuþ bitmiþ;adj.;akoñpli;19
61;accomplir ;toaccomplish ;tamamlamak;v.;akoñplir;19
62;accord;concordance, agreement;mutabakat, anlaþma, uzlaþma;m.;akor;20
63;accord;agreement, arrangement;söz birliði, uyum;m.;akor;20
64;accord;chord;akort (müz.);m.;akor;20
65;d'accord;all right / ok;peki, tamam;adv.;d'akor;20
66;être d'accord;tobe agree;uzlaþmak;v.;etr d'akor;20
67;tomber d'accord;toagree;uyuþmak, hemfikir olmak;v.;toñbe d'akor;20
68;accordéon;accordion;akordeon;m.;akordeoñ;21
